record_type,dimension,example,p,p_int,mode,mode_short,target,target_x_dofs,run_status,job_id,run_id,source_group,source_case_relpath,history_source,history_status,outer_iteration,inner_iteration,inner_count,x_true_dofs,x_true_dofs_before,x_true_dofs_after,y_true_dofs_before,y_true_dofs_after,g_true_dofs,iteration_seconds,elapsed_seconds,inner_iterations,y_converged,stopped_on_empty_y_marking,refined_x,uniform_x_refinement,uniform_y_refinement,x_refinement_mode,configured_rho,effective_rho,effective_rho_available,effective_rho_reason,posteriori_factor_configured_rho,posteriori_factor_effective_rho,posteriori_improvement_factor,eta_squared,eta,posteriori_estimator_configured_rho_squared,posteriori_estimator_configured_rho,posteriori_estimator_effective_rho_squared,posteriori_estimator_effective_rho,posteriori_estimator_configured_rho_final10_loglog_slope,posteriori_estimator_configured_rho_final10_convergence_rate,posteriori_estimator_configured_rho_final10_point_count,posteriori_estimator_effective_rho_final10_loglog_slope,posteriori_estimator_effective_rho_final10_convergence_rate,posteriori_estimator_effective_rho_final10_point_count,posteriori_estimator_effective_rho_squared_final10_loglog_slope,posteriori_estimator_effective_rho_squared_final10_convergence_rate,posteriori_estimator_effective_rho_squared_final10_point_count,lambda_y_squared,lambda_y,y_estimator_squared,y_estimator,y_estimator_threshold_squared,y_estimator_threshold,y_flux_squared,y_flux,y_reconstruction_squared,y_reconstruction,divergence_residual_squared,divergence_residual,divergence_residual_l2,flux_over_reconstruction,flux_squared_over_reconstruction_squared,reconstruction_over_flux,reconstruction_squared_over_flux_squared,flux_fraction_of_y_estimator,reconstruction_fraction_of_y_estimator,divergence_over_y_estimator,divergence_squared_over_y_estimator_squared,g_estimator_enabled,g_estimator_computed,g_estimator_skipped_reason,g_solver_status,g_lambda_difference_available,g_lambda_difference_squared,g_lambda_difference,g_over_y_estimator,g_squared_over_y_estimator_squared,flux_over_reconstruction_min,flux_over_reconstruction_max,flux_over_reconstruction_avg,flux_over_reconstruction_final,reconstruction_over_flux_min,reconstruction_over_flux_max,reconstruction_over_flux_avg,reconstruction_over_flux_final,g_over_y_estimator_min,g_over_y_estimator_max,g_over_y_estimator_avg,g_over_y_estimator_final,divergence_over_y_estimator_min,divergence_over_y_estimator_max,divergence_over_y_estimator_avg,divergence_over_y_estimator_final,flux_fraction_min,flux_fraction_max,flux_fraction_avg,flux_fraction_final,g_ratio_value_count,flux_ratio_value_count,reconstruction_ratio_value_count,divergence_ratio_value_count
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,0,,,3,3,5,4,4,18,0.0615341,0.0615399,1,1,0,1,0,0,adaptive,1,0.0848555,1,computed_required,2.44444,1.02825,2.37728,0.046539799999999999,0.21573100000000001,0.113764,0.33728919342309205,0.047854599999999997,0.21875694274696744,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.0183771,0.13556199999999999,0.00092794899999999996,0.030462199999999998,0.059056600000000001,0.24301600000000001,0.00092794899999999996,0.030462199999999998,5.1714799999999998e-34,2.2740899999999999e-17,2.0332000000000001e-33,4.5091100000000002e-17,4.50911e-17,1339533615644059.8,1.7943586748861061e+30,7.4652848448240775e-16,5.5730217932235498e-31,1,7.4652848448240775e-16,1.4802312374024202e-15,2.1910686901974142e-30,1,1,not_skipped,success,1,0.00086995200000000001,0.029494900000000001,0.96824589162962627,0.93749979794148175,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,1,,,5,5,7,8,8,33,0.0293117,0.0933949,1,1,0,1,0,0,adaptive,1,0.0979349,1,computed_required,2.44444,1.03642,2.35855,0.036218800000000002,0.19031200000000001,0.088535000000000003,0.29754831540440624,0.037537899999999999,0.19374699997677383,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.019688400000000002,0.140315,0.00079084100000000003,0.028121899999999998,0.043565699999999999,0.20872399999999999,0.00072159100000000005,0.026862400000000002,6.9250099999999996e-05,0.0083216699999999998,8.2410600000000003e-32,2.87073e-16,2.87073e-16,3.2280059170815476,10.420071595564485,0.3097887753886473,0.09596863042914891,0.95521284123761208,0.29591421632251025,1.0208165166649481e-14,1.042062816672378e-28,1,1,not_skipped,success,1,0.00068814400000000002,0.026232499999999999,0.93281392793516793,0.87014203866516782,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,2,,,7,7,12,12,12,48,0.0284572,0.124147,1,1,0,1,0,0,adaptive,1,0.0992771,1,computed_required,2.44444,1.0373,2.35655,0.034382200000000002,0.18542400000000001,0.084045300000000003,0.28990567431493991,0.035664599999999998,0.18885073470865821,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.019859700000000001,0.14092399999999999,0.00073742000000000002,0.027155499999999999,0.040836600000000001,0.20208100000000001,0.00067492400000000003,0.0259793,6.24961e-05,0.0079054499999999996,3.5542399999999998e-31,5.9617399999999995e-16,5.96174e-16,3.2862518895192561,10.799457886172098,0.30429803728352955,0.092597240578198431,0.9566864907661432,0.29111782143580489,2.195407928412292e-14,4.8198313037346424e-28,1,1,not_skipped,success,1,0.00064814099999999997,0.025458600000000001,0.93751173795363751,0.87893059586124589,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,3,,,12,12,22,22,22,81,0.027881,0.154209,1,1,0,1,0,0,adaptive,1,0.171569,1,computed_required,2.44444,1.0947,2.23297,0.019130000000000001,0.13831099999999999,0.046762100000000001,0.21624546238013875,0.020941600000000001,0.14471212803355496,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.0133603,0.115587,0.00093967699999999998,0.0306542,0.0216943,0.14729,0.00093574100000000003,0.0305899,3.9362200000000002e-06,0.0019839900000000001,1.03781e-30,1.0187300000000001e-15,1.01873e-15,15.418374084546796,237.72578768463143,0.064857681783856772,0.0042065272334973029,0.99790240815287956,0.064721636839323818,3.3232966445054841e-14,1.1044326933616552e-27,1,1,not_skipped,success,1,0.00093052100000000002,0.030504400000000001,0.99511323081339598,0.99025622634160471,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,4,,,22,22,36,42,42,147,0.0341929,0.19061,1,1,0,1,0,0,adaptive,1,0.244308,1,computed_required,2.44444,1.16742,2.09388,0.0108174,0.104007,0.0264426,0.16261180768935571,0.012628500000000001,0.11237659898751164,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.0089479099999999999,0.094593399999999994,0.00084707200000000004,0.029104499999999998,0.0116483,0.107927,0.00055342800000000001,0.0235251,0.00029364300000000001,0.017135999999999998,4.9326300000000001e-30,2.2209499999999999e-15,2.22095e-15,1.3728466386554623,1.8846967235725014,0.72841348177053433,0.53058934495544141,0.80829768592485707,0.58877493171159101,7.6309505402944558e-14,5.8231531676173924e-27,1,1,not_skipped,success,1,0.00056934300000000004,0.023860900000000001,0.81983542063942005,0.67213058630199085,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,5,,,36,36,57,70,70,234,0.0312477,0.224162,1,1,0,1,0,0,adaptive,1,0.190311,1,computed_required,2.44444,1.11222,2.1978,0.0065520800000000001,0.0809449,0.016016200000000001,0.12655512632841073,0.0072873699999999996,0.085366093971787183,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.0052176899999999997,0.072233500000000006,0.00033872399999999999,0.018404400000000001,0.0071451500000000003,0.084529000000000007,0.00030317199999999999,0.017411800000000002,3.5551800000000001e-05,0.0059625299999999997,8.3552100000000007e-30,2.8905399999999998e-15,2.89054e-15,2.9202033365031292,8.5276132291473274,0.34244190721235018,0.11726610636866203,0.9460672447892895,0.32397307165677769,1.5705700810675706e-13,2.4666719807276724e-26,1,1,not_skipped,success,1,0.00030410300000000001,0.017438599999999999,0.94752341831301201,0.89778994107296806,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,6,,,57,57,91,112,112,360,0.0323834,0.25875,1,1,0,1,0,0,adaptive,1,0.439075,1,computed_required,2.44444,1.4114,1.73193,0.0023911000000000002,0.048898900000000002,0.00584491,0.076452011091926161,0.0033747999999999998,0.058093028841677725,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.00204127,0.045180400000000003,0.00053744999999999997,0.023182999999999999,0.0025465800000000001,0.050463599999999997,0.00022964799999999999,0.0151541,0.00030780199999999998,0.017544299999999999,1.1606299999999999e-28,1.0773199999999999e-14,1.07732e-14,0.86376201957330878,0.74609001890825921,1.1577262918946027,1.3403208388490211,0.6536729500064703,0.7567743605227969,4.6470258378984596e-13,2.1595125127918875e-25,1,1,not_skipped,success,1,0.00027702199999999998,0.016643999999999999,0.71793986973213131,0.51543771513629177,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,7,,,91,91,132,178,178,576,0.0403065,0.301376,1,1,0,1,0,0,adaptive,1,0.480827,1,computed_required,2.44444,1.47152,1.66117,0.0018101700000000001,0.042546100000000003,0.0044248500000000001,0.066519545999653359,0.0026636899999999998,0.051610948450885881,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.0015065,0.0388137,0.00049147999999999998,0.022169299999999999,0.00194513,0.0441036,0.00016321599999999999,0.0127756,0.00032826399999999999,0.018117999999999999,5.5873400000000004e-28,2.3637600000000001e-14,2.36376e-14,0.70513301688928143,0.49720956303463065,1.4181721406431009,2.0112243897657094,0.5762743974775929,0.81725629586861104,1.0662312296734674e-12,1.1368397493285587e-24,1,1,not_skipped,success,1,0.00023332999999999999,0.015275199999999999,0.68902491282990441,0.47474973549279725,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,8,,,132,132,206,262,262,837,0.0400937,0.343801,1,1,0,1,0,0,adaptive,1,0.533553,1,computed_required,2.44444,1.55117,1.57587,0.0014371,0.037909100000000001,0.0035129100000000002,0.059269806815949726,0.0022291899999999998,0.047214298681649398,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.00121839,0.034905400000000003,0.000467398,0.0216194,0.0015343100000000001,0.039170200000000002,0.00014376999999999999,0.0119904,0.00032362800000000001,0.017989700000000001,1.4877800000000001e-27,3.8571700000000003e-14,3.85717e-14,0.66651472787206012,0.44424462654652869,1.5003419402188418,2.2510120331084376,0.5546129864843613,0.83210912421251282,1.7841244437865991e-12,3.183111609377875e-24,1,1,not_skipped,success,1,0.000273109,0.016525999999999999,0.76440604272088952,0.58431786186504864,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,boundary_singularity,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332815,20260701_015700_248456_job24332815,snellius_next_mem176,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,9,,,206,206,294,414,414,1308,0.0456951,0.391877,1,1,0,1,0,0,adaptive,1,0.666966,1,computed_required,2.44444,1.7715,1.37987,0.00093756000000000004,0.0306196,0.00229181,0.04787285243225016,0.0016608899999999999,0.040754018206797721,-0.65874757798890438,0.65874757798890438,10,-0.51228010759912701,0.51228010759912701,10,-1.024560215198254,1.024560215198254,10,0.00081100400000000004,0.028478099999999999,0.00045840699999999998,0.0214104,0.00099380699999999998,0.031524700000000003,0.000106902,0.010339299999999999,0.000351505,0.018748500000000001,7.0428600000000003e-27,8.3921800000000001e-14,8.39218e-14,0.55147345120943003,0.3041265415854682,1.8133239194142741,3.2881049933584032,0.48291017449463808,0.87567257033964807,3.9196745506856485e-12,1.5363770623048952e-23,1,1,not_skipped,success,1,0.00031861599999999997,0.017849799999999999,0.83369764226730936,0.69505046825201189,,,,,,,,,,,,,,,,,,,,,,,,
