record_type,dimension,example,p,p_int,mode,mode_short,target,target_x_dofs,run_status,job_id,run_id,source_group,source_case_relpath,history_source,history_status,outer_iteration,inner_iteration,inner_count,x_true_dofs,x_true_dofs_before,x_true_dofs_after,y_true_dofs_before,y_true_dofs_after,g_true_dofs,iteration_seconds,elapsed_seconds,inner_iterations,y_converged,stopped_on_empty_y_marking,refined_x,uniform_x_refinement,uniform_y_refinement,x_refinement_mode,configured_rho,effective_rho,effective_rho_available,effective_rho_reason,posteriori_factor_configured_rho,posteriori_factor_effective_rho,posteriori_improvement_factor,eta_squared,eta,posteriori_estimator_configured_rho_squared,posteriori_estimator_configured_rho,posteriori_estimator_effective_rho_squared,posteriori_estimator_effective_rho,posteriori_estimator_configured_rho_final10_loglog_slope,posteriori_estimator_configured_rho_final10_convergence_rate,posteriori_estimator_configured_rho_final10_point_count,posteriori_estimator_effective_rho_final10_loglog_slope,posteriori_estimator_effective_rho_final10_convergence_rate,posteriori_estimator_effective_rho_final10_point_count,posteriori_estimator_effective_rho_squared_final10_loglog_slope,posteriori_estimator_effective_rho_squared_final10_convergence_rate,posteriori_estimator_effective_rho_squared_final10_point_count,lambda_y_squared,lambda_y,y_estimator_squared,y_estimator,y_estimator_threshold_squared,y_estimator_threshold,y_flux_squared,y_flux,y_reconstruction_squared,y_reconstruction,divergence_residual_squared,divergence_residual,divergence_residual_l2,flux_over_reconstruction,flux_squared_over_reconstruction_squared,reconstruction_over_flux,reconstruction_squared_over_flux_squared,flux_fraction_of_y_estimator,reconstruction_fraction_of_y_estimator,divergence_over_y_estimator,divergence_squared_over_y_estimator_squared,g_estimator_enabled,g_estimator_computed,g_estimator_skipped_reason,g_solver_status,g_lambda_difference_available,g_lambda_difference_squared,g_lambda_difference,g_over_y_estimator,g_squared_over_y_estimator_squared,flux_over_reconstruction_min,flux_over_reconstruction_max,flux_over_reconstruction_avg,flux_over_reconstruction_final,reconstruction_over_flux_min,reconstruction_over_flux_max,reconstruction_over_flux_avg,reconstruction_over_flux_final,g_over_y_estimator_min,g_over_y_estimator_max,g_over_y_estimator_avg,g_over_y_estimator_final,divergence_over_y_estimator_min,divergence_over_y_estimator_max,divergence_over_y_estimator_avg,divergence_over_y_estimator_final,flux_fraction_min,flux_fraction_max,flux_fraction_avg,flux_fraction_final,g_ratio_value_count,flux_ratio_value_count,reconstruction_ratio_value_count,divergence_ratio_value_count
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,0,,,3,3,5,4,4,18,0.0936368,0.0936446,1,1,0,1,0,0,adaptive,1,0.100628,1,computed_required,2.44444,1.03819,2.35451,0.25337399999999999,0.503363,0.61935899999999999,0.78699364673420336,0.26305200000000001,0.51288595223499733,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.123181,0.35097200000000001,0.0062200099999999998,0.078867099999999996,0.31123800000000001,0.55788700000000002,0.0062200099999999998,0.078867099999999996,2.4288100000000001e-33,4.9282999999999999e-17,9.4837199999999996e-33,9.7384400000000001e-17,9.73844e-17,1600290160907412.2,2.5609290146203282e+30,6.2488667644683272e-16,3.9048329504293404e-31,1,6.2488667644683272e-16,1.2347911866925499e-15,1.524711375062098e-30,1,1,not_skipped,success,1,0.0058312599999999996,0.076362700000000006,0.96824531395220581,0.93750010048215349,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,1,,,5,5,8,8,8,33,0.0283855,0.124394,1,1,0,1,0,0,adaptive,1,0.0968326,1,computed_required,2.44444,1.0357,2.36019,0.219834,0.468864,0.53737100000000004,0.73305593238169764,0.227682,0.47716035040644356,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.118322,0.34398000000000001,0.0047333799999999997,0.068799600000000002,0.26495000000000002,0.514733,0.0045008399999999999,0.067088300000000003,0.000232544,0.0152494,7.02019e-31,8.3786599999999998e-16,8.37866e-16,4.399405878264063,19.354788771157285,0.22730341952322536,0.051666799975115758,0.97512630887388885,0.22164954447409577,1.2178355688114466e-14,1.4831241100439856e-28,1,1,not_skipped,success,1,0.0042875099999999996,0.065479099999999998,0.95173663800370922,0.90580304137846523,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,2,,,8,8,12,14,14,51,0.0277186,0.154333,1,1,0,1,0,0,adaptive,1,0.217935,1,computed_required,2.44444,1.13964,2.14492,0.10016600000000001,0.31648999999999999,0.24485100000000001,0.49482421121040554,0.11415400000000001,0.33786683767425296,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.079904000000000003,0.28267300000000001,0.0066245599999999998,0.081391400000000003,0.109171,0.33041100000000001,0.0066245599999999998,0.081391400000000003,2.4568199999999999e-32,1.5674300000000001e-16,3.9558700000000003e-30,1.9889399999999999e-15,1.98894e-15,519266570117963.75,2.6963961543784242e+29,1.9257931427644691e-15,3.7086538577656478e-30,1,1.9257931427644691e-15,2.4436734102128724e-14,5.9715211274409178e-28,1,1,not_skipped,success,1,0.0065496399999999998,0.080929799999999996,0.99432863914369318,0.98869056963783253,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,3,,,12,12,19,22,22,81,0.0279516,0.184498,1,1,0,1,0,0,adaptive,1,0.207299,1,computed_required,2.44444,1.12887,2.16539,0.097483600000000004,0.312224,0.238293,0.48815264006251158,0.11004700000000001,0.33173332663451227,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.0779831,0.27925499999999998,0.0058642499999999997,0.076578400000000005,0.106151,0.32580700000000001,0.0058520899999999999,0.076498999999999998,1.21583e-05,0.0034868799999999999,3.5058900000000002e-30,1.8723999999999998e-15,1.8724e-15,21.939097416601662,481.32469177434342,0.045580726545445038,0.002077599626799998,0.9989631541008952,0.045533466356048179,2.4450758960751332e-14,5.9784115615807655e-28,1,1,not_skipped,success,1,0.0058368300000000003,0.076399099999999998,0.99765860869383527,0.99532421025706619,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,4,,,19,19,31,36,36,129,0.0323624,0.219012,1,1,0,1,0,0,adaptive,1,0.229027,1,computed_required,2.44444,1.15115,2.12349,0.072810200000000005,0.26983400000000002,0.177981,0.42187794443416926,0.083815200000000006,0.28950854909656815,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.058477899999999999,0.24182200000000001,0.0052336300000000004,0.0723438,0.079180100000000003,0.28138999999999997,0.0039528999999999996,0.0628721,0.0012807300000000001,0.035787300000000001,1.11811e-29,3.34382e-15,3.34382e-15,1.7568271425896895,3.086442888040414,0.56920796346869285,0.32399757140327362,0.8690737837934972,0.49468371857712756,4.6221238032837644e-14,2.1363948158352804e-27,1,1,not_skipped,success,1,0.0039432399999999998,0.062795199999999995,0.8680108039666149,0.75344263923892207,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,5,,,31,31,48,60,60,201,0.0300487,0.251301,1,1,0,1,0,0,adaptive,1,0.261543,1,computed_required,2.44444,1.18635,2.06047,0.026813799999999999,0.16374900000000001,0.065544699999999997,0.25601699162360297,0.031810600000000001,0.17835526344910599,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.0250125,0.15815299999999999,0.0020466500000000001,0.0452399,0.027614300000000001,0.16617599999999999,0.0019234199999999999,0.043856800000000001,0.00012322900000000001,0.011100799999999999,3.1555599999999997e-29,5.61744e-15,5.61744e-15,3.950778322283079,15.608501245648345,0.25311468232976414,0.06406765033118092,0.96942743021094213,0.24537631603960219,1.2417003574278458e-13,1.5418171157745581e-26,1,1,not_skipped,success,1,0.001921,0.043829300000000002,0.96881955972493317,0.93860699191361485,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,6,,,48,48,80,94,94,306,0.0312928,0.284807,1,1,0,1,0,0,adaptive,1,0.464355,1,computed_required,2.44444,1.44749,1.68875,0.014236199999999999,0.11931600000000001,0.034799700000000003,0.18654677697564223,0.020606800000000002,0.14355068791197068,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.012750900000000001,0.11292000000000001,0.0034140899999999998,0.058430200000000002,0.014896400000000001,0.12205100000000001,0.00135826,0.036854600000000001,0.0020558299999999998,0.045341199999999998,6.1404399999999998e-29,7.8360999999999997e-15,7.8361e-15,0.81282806807054075,0.66068692450251243,1.2302724761630841,1.513576193070546,0.6307457444951412,0.77598912890936533,1.3411044288741094e-13,1.7985583274020309e-26,1,1,not_skipped,success,1,0.0013568899999999999,0.036836000000000001,0.6304274159595552,0.39743826319751385,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,7,,,80,80,134,154,154,504,0.0370923,0.324114,1,1,0,1,0,0,adaptive,1,0.309389,1,computed_required,2.44444,1.24184,1.96841,0.0088892299999999997,0.094282699999999997,0.021729200000000001,0.1474082765654629,0.011039,0.10506664551607232,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.0086419800000000005,0.092962299999999998,0.00088701399999999999,0.029782800000000002,0.0089991099999999994,0.094863699999999995,0.00079292999999999996,0.028159,9.4084699999999997e-05,0.0096997300000000002,2.87818e-28,1.6965199999999999e-14,1.69652e-14,2.9030704978385997,8.4278315177706897,0.34446287155083632,0.11865448400237096,0.94547859838564541,0.32568227298977931,5.6963079361242056e-13,3.244796587201555e-25,1,1,not_skipped,success,1,0.000792244,0.0281468,0.94506896598036449,0.8931583943432686,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,8,,,134,134,195,262,262,828,0.0376262,0.364361,1,1,0,1,0,0,adaptive,1,0.545088,1,computed_required,2.44444,1.56916,1.55781,0.0045379599999999997,0.067364400000000005,0.0110928,0.10532236229785201,0.0071207700000000002,0.084384655003146167,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.0043534899999999998,0.065980999999999998,0.0013985,0.037396600000000002,0.0046199400000000003,0.067970199999999995,0.00053505700000000002,0.0231313,0.00086344600000000003,0.029384500000000001,1.0501199999999999e-27,3.2405600000000001e-14,3.24056e-14,0.78719392877197158,0.61967627390711177,1.2703350006268563,1.6137458252111456,0.61854018814544631,0.78575325029548138,8.6653866929079114e-13,7.5089023954236679e-25,1,1,not_skipped,success,1,0.00053485999999999996,0.023127000000000002,0.61842520443034932,0.38245262781551659,,,,,,,,,,,,,,,,,,,,,,,,
outer,1d,smooth_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_4M,4000000,completed,24332787,20260701_015625_183344_job24332787,snellius_next_mem176,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,9,,,195,195,277,384,384,1209,0.0452186,0.411947,1,1,0,1,0,0,adaptive,1,0.414983,1,computed_required,2.44444,1.37791,1.77402,0.0026774400000000001,0.051743999999999998,0.0065448399999999997,0.080900185413879,0.0036892700000000001,0.060739361208363069,-0.6405053735815055,0.6405053735815055,10,-0.52063800293066775,0.52063800293066775,10,-1.0412760058613355,1.0412760058613355,10,0.00266016,0.051576700000000003,0.00046463800000000002,0.021555499999999998,0.0026851100000000001,0.051818099999999999,0.00029011999999999999,0.0170329,0.000174518,0.0132105,3.1169800000000001e-27,5.5829899999999999e-14,5.58299e-14,1.2893455963059688,1.6624073161507695,0.77558724585948369,0.60153729491245,0.79018811904154396,0.61285982695831698,2.5900535826123266e-12,6.7084052531217856e-24,1,1,not_skipped,success,1,0.00029001999999999999,0.01703,0.79005358261232639,0.6241848492805151,,,,,,,,,,,,,,,,,,,,,,,,
