record_type,dimension,example,p,p_int,mode,mode_short,target,target_x_dofs,run_status,job_id,run_id,source_group,source_case_relpath,history_source,history_status,outer_iteration,inner_iteration,inner_count,x_true_dofs,x_true_dofs_before,x_true_dofs_after,y_true_dofs_before,y_true_dofs_after,g_true_dofs,iteration_seconds,elapsed_seconds,inner_iterations,y_converged,stopped_on_empty_y_marking,refined_x,uniform_x_refinement,uniform_y_refinement,x_refinement_mode,configured_rho,effective_rho,effective_rho_available,effective_rho_reason,posteriori_factor_configured_rho,posteriori_factor_effective_rho,posteriori_improvement_factor,eta_squared,eta,posteriori_estimator_configured_rho_squared,posteriori_estimator_configured_rho,posteriori_estimator_effective_rho_squared,posteriori_estimator_effective_rho,posteriori_estimator_configured_rho_final10_loglog_slope,posteriori_estimator_configured_rho_final10_convergence_rate,posteriori_estimator_configured_rho_final10_point_count,posteriori_estimator_effective_rho_final10_loglog_slope,posteriori_estimator_effective_rho_final10_convergence_rate,posteriori_estimator_effective_rho_final10_point_count,posteriori_estimator_effective_rho_squared_final10_loglog_slope,posteriori_estimator_effective_rho_squared_final10_convergence_rate,posteriori_estimator_effective_rho_squared_final10_point_count,lambda_y_squared,lambda_y,y_estimator_squared,y_estimator,y_estimator_threshold_squared,y_estimator_threshold,y_flux_squared,y_flux,y_reconstruction_squared,y_reconstruction,divergence_residual_squared,divergence_residual,divergence_residual_l2,flux_over_reconstruction,flux_squared_over_reconstruction_squared,reconstruction_over_flux,reconstruction_squared_over_flux_squared,flux_fraction_of_y_estimator,reconstruction_fraction_of_y_estimator,divergence_over_y_estimator,divergence_squared_over_y_estimator_squared,g_estimator_enabled,g_estimator_computed,g_estimator_skipped_reason,g_solver_status,g_lambda_difference_available,g_lambda_difference_squared,g_lambda_difference,g_over_y_estimator,g_squared_over_y_estimator_squared,flux_over_reconstruction_min,flux_over_reconstruction_max,flux_over_reconstruction_avg,flux_over_reconstruction_final,reconstruction_over_flux_min,reconstruction_over_flux_max,reconstruction_over_flux_avg,reconstruction_over_flux_final,g_over_y_estimator_min,g_over_y_estimator_max,g_over_y_estimator_avg,g_over_y_estimator_final,divergence_over_y_estimator_min,divergence_over_y_estimator_max,divergence_over_y_estimator_avg,divergence_over_y_estimator_final,flux_fraction_min,flux_fraction_max,flux_fraction_avg,flux_fraction_final,g_ratio_value_count,flux_ratio_value_count,reconstruction_ratio_value_count,divergence_ratio_value_count
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,0,,,2,2,2,2,2,15,0.102679,0.102684,1,1,0,1,0,0,adaptive,1,0.011717,1,computed_required,2.44444,1.00066,2.44283,0.89432699999999998,0.945689,2.1861299999999999,1.4785567287053953,0.89491799999999999,0.94600105708186177,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.088923000000000002,0.29820000000000002,0.00054505000000000005,0.0233463,1.2522800000000001,1.1190500000000001,0.00054505000000000005,0.0233463,6.6252400000000005e-33,8.1395600000000005e-17,1.42329e-31,3.7726499999999998e-16,3.77265e-16,286825086368304.94,8.2268717812486792e+28,3.4864453896334752e-15,1.2155288505641684e-29,1,3.4864453896334752e-15,1.6159519923927986e-14,2.6113017154389503e-28,1,1,not_skipped,success,1,2.8855599999999999e-05,0.0053717399999999998,0.23008956451343468,0.052941198055224285,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,1,,,2,2,3,2,2,30,0.0641354,0.172056,1,1,0,1,0,0,adaptive,1,0.010304,1,computed_required,2.44444,1.00051,2.44319,0.89432699999999998,0.945689,2.1861299999999999,1.4785567287053953,0.89478599999999997,0.94593128714510755,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.088923000000000002,0.29820000000000002,0.000423325,0.0205749,1.2522800000000001,1.1190500000000001,0.000423325,0.0205749,2.8306399999999999e-31,5.3203800000000003e-16,7.3549699999999996e-32,2.7120100000000002e-16,2.71201e-16,38671861784308.641,1.4955098493626883e+27,2.5858594695478474e-14,6.6866828087167068e-28,1,2.5858594695478474e-14,1.318115762409538e-14,1.7374286895411326e-28,1,1,not_skipped,success,1,9.3780600000000001e-05,0.0096840399999999997,0.47067251845695479,0.22153333727041871,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,2,,,3,3,7,4,4,54,0.0685197,0.245633,1,1,0,1,0,0,adaptive,1,0.0222701,1,computed_required,2.44444,1.00231,2.4388,0.81428999999999996,0.90237999999999996,1.9904900000000001,1.4108472631720275,0.81617499999999998,0.90342404218617067,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.13397800000000001,0.36602899999999999,0.00164084,0.0405072,1.1166499999999999,1.0567200000000001,0.00164084,0.0405072,7.2301000000000003e-32,2.68889e-16,1.4446e-31,3.8007899999999999e-16,3.80079e-16,150646549319607.72,2.2694568539854219e+28,6.6380544693289096e-15,4.406340654786573e-29,1,6.6380544693289096e-15,9.3829985780305723e-15,8.8040272055776317e-29,1,1,not_skipped,success,1,0.00094191900000000005,0.030690700000000001,0.75766036655211921,0.57404682967260678,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,3,,,7,7,7,12,12,102,0.0724,0.323162,1,1,0,1,0,0,adaptive,1,0.0209523,1,computed_required,2.44444,1.00206,2.43943,0.81442800000000004,0.90245699999999995,1.99082,1.4109642093263741,0.81610300000000002,0.90338419291019256,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.13398199999999999,0.36603599999999997,0.0014582200000000001,0.038186600000000001,1.1168499999999999,1.05681,0.0014582200000000001,0.038186600000000001,2.0265800000000001e-31,4.5017499999999996e-16,5.0769299999999999e-31,7.1252599999999999e-16,7.12526e-16,84826123174321.109,7.1954721747969485e+27,1.1788821209534233e-14,1.3897628615709564e-28,1,1.1788821209534233e-14,1.8659058413160638e-14,3.4815939981621427e-28,1,1,not_skipped,success,1,0.0012191400000000001,0.034916099999999999,0.91435477366406015,0.83604668705682272,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,4,,,7,7,20,12,12,147,0.0750723,0.403359,1,1,0,1,0,0,adaptive,1,0.0209428,1,computed_required,2.44444,1.00205,2.43943,0.81442800000000004,0.90245699999999995,1.99082,1.4109642093263741,0.81610199999999999,0.9033836394356497,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.13398199999999999,0.36603599999999997,0.00145692,0.038169700000000001,1.1168499999999999,1.05681,0.00145692,0.038169700000000001,6.3441100000000003e-31,7.9649900000000001e-16,2.30542e-30,1.5183600000000001e-15,1.51836e-15,47921842965276.797,2.2964923369865906e+27,2.0867310982271277e-14,4.3544669576915687e-28,1,2.0867310982271277e-14,3.9779196587869435e-14,1.5823929934382121e-27,1,1,not_skipped,success,1,0.0012335499999999999,0.035121899999999998,0.92015132421790047,0.8466834143261126,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,5,,,20,20,29,38,38,321,0.0811941,0.492444,1,1,0,1,0,0,adaptive,1,0.0569892,1,computed_required,2.44444,1.01372,2.41137,0.64016899999999999,0.80010599999999998,1.5648599999999999,1.2509436438145405,0.64895000000000003,0.80557432928315187,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.176311,0.41989399999999999,0.0069350999999999996,0.083277199999999996,0.84632799999999997,0.91996100000000003,0.0069350999999999996,0.083277199999999996,6.74124e-31,8.2105100000000002e-16,1.7032199999999999e-29,4.12701e-15,4.12701e-15,101427560529126.69,1.0287573206116382e+28,9.8592531929507725e-15,9.7204654583207169e-29,1,9.8592531929507725e-15,4.9557501933302272e-14,2.4559415149024527e-27,1,1,not_skipped,success,1,0.0061081800000000004,0.078154799999999996,0.93848976670685369,0.88076307479344218,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,6,,,29,29,32,56,56,429,0.0892493,0.58681,1,1,0,1,0,0,adaptive,1,0.0420504,1,computed_required,2.44444,1.00779,2.42556,0.62793900000000002,0.79242599999999996,1.5349600000000001,1.2389350265449759,0.63282799999999995,0.7955048711353061,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.17454,0.41777999999999998,0.0038389499999999998,0.061959300000000002,0.82944899999999999,0.91074100000000002,0.0038389499999999998,0.061959300000000002,3.8323200000000001e-31,6.1905699999999999e-16,3.1422e-29,5.6055300000000002e-15,5.60553e-15,100086583303314.56,1.0017300225450901e+28,9.9913491598517086e-15,9.9827296526393944e-29,1,9.9913491598517086e-15,9.0471164135166151e-14,8.1850505997733756e-27,1,1,not_skipped,success,1,0.0034562600000000001,0.058790000000000002,0.94884867969780162,0.90031388791205935,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,7,,,32,32,54,62,62,510,0.103712,0.695756,1,1,0,1,0,0,adaptive,1,0.0379054,1,computed_required,2.44444,1.0064,2.42889,0.62243400000000004,0.78894500000000001,1.5215000000000001,1.2334909809155477,0.62641899999999995,0.79146636062437925,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.175314,0.41870499999999999,0.0031146400000000001,0.055808900000000002,0.82115300000000002,0.90617499999999995,0.0031146400000000001,0.055808900000000002,2.3552899999999998e-30,1.5346900000000001e-15,6.2156899999999996e-29,7.8839700000000002e-15,7.88397e-15,36364933634805.727,1.3224019122910555e+27,2.7499018973676241e-14,7.5619975342254636e-28,1,2.7499018973676241e-14,1.412672530725386e-13,1.995636734903552e-26,1,1,not_skipped,success,1,0.0028604699999999999,0.053483299999999998,0.95832922705876655,0.9183950633138982,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,8,,,54,54,81,106,106,894,0.106773,0.808058,1,1,0,1,0,0,adaptive,1,0.0385069,1,computed_required,2.44444,1.0066,2.42843,0.606711,0.77891600000000005,1.4830700000000001,1.2178136146389562,0.61071299999999995,0.78148128576441289,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.185056,0.43018200000000001,0.0030556300000000002,0.055277800000000002,0.79411299999999996,0.89112999999999998,0.0030429699999999999,0.0551631,1.26579e-05,0.0035577999999999999,9.9823599999999999e-29,9.9911699999999994e-15,9.99117e-15,15.50483444825454,240.40085638218031,0.064496012733149519,0.004159718958780402,0.99792502595978849,0.064362185181031081,1.8074471125840752e-13,3.2668745888736529e-26,1,1,not_skipped,success,1,0.0027721600000000001,0.052651299999999998,0.95248544623700648,0.90723026020820585,,,,,,,,,,,,,,,,,,,,,,,,
outer,2d,non_matching_initial,p1,1,adaptive_force_effective_rho_no_inner_refinement,force_eff_rho_no_inner,production_2M,2000000,completed,24339171,20260701_091331_675538_job24339171,snellius_next_mem216,algorithm_data_ordered/2d/non_matching_initial/p1/production_2M/adaptive_force_effective_rho_no_inner_refinement,outer_history.csv,completed,9,,,81,81,120,160,160,1245,0.130326,0.943713,1,1,0,1,0,0,adaptive,1,0.0371676,1,computed_required,2.44444,1.00617,2.42946,0.598109,0.77337500000000003,1.46204,1.2091484606945502,0.60179800000000006,0.77575640506540455,-0.15312917442464211,0.15312917442464211,10,-0.13935275842382627,0.13935275842382627,10,-0.27870551684765255,0.27870551684765255,10,0.188802,0.43451400000000001,0.0027858000000000002,0.0527807,0.78002199999999999,0.883189,0.0027600200000000002,0.052535900000000003,2.57781e-05,0.0050772100000000004,1.43194e-28,1.19664e-14,1.19664e-14,10.347395518404793,107.06840302427256,0.096642676722012946,0.0093398236244664895,0.99536194101252928,0.096194442286669193,2.2671923638754316e-13,5.1401392777658118e-26,1,1,not_skipped,success,1,0.0025255199999999998,0.050254600000000003,0.95213970258067826,0.90656902864527233,,,,,,,,,,,,,,,,,,,,,,,,
