dimension,example,p,mode,target,target_x_dofs,status,job_id,csv_path,outer_history_source,inner_history_source,outer_rows,inner_rows,inner_summary_rows,outer_effective_posteriori_rows,inner_g_difference_rows,inner_flux_reconstruction_ratio_rows,inner_reconstruction_flux_ratio_rows,inner_divergence_ratio_rows,configured_posteriori_final10_rate,configured_posteriori_final10_points,effective_posteriori_final10_rate,effective_posteriori_final10_points,effective_posteriori_squared_final10_rate,effective_posteriori_squared_final10_points,source_case_relpath
1d,boundary_singularity,p1,adaptive_force_effective_rho_no_inner_refinement,production_4M,4000000,completed,24332815,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,43,43,43,43,43,43,43,43,0.65874757798890438,10,0.51228010759912701,10,1.024560215198254,10,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement
1d,boundary_singularity,p1,adaptive_g_effective_rho,production_4M,4000000,completed,24339160,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,41,68,41,41,68,68,68,68,0.55113334880640652,10,0.53790922133946073,10,1.0758184426789217,10,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/adaptive_g_effective_rho
1d,boundary_singularity,p1,uniform_standard,production_4M,4000000,completed,24332817,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,10,10,10,10,0,10,10,10,0.28272377020553557,10,0.28557156527377142,10,0.57114313054754284,10,algorithm_data_ordered/1d/boundary_singularity/p1/production_4M/uniform_standard
1d,boundary_singularity,p2,adaptive_force_effective_rho_no_inner_refinement,production_4M,4000000,completed,24332818,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,45,45,45,45,45,45,45,45,0.91224935493833104,10,0.89289011625380532,10,1.7857802325076106,10,algorithm_data_ordered/1d/boundary_singularity/p2/production_4M/adaptive_force_effective_rho_no_inner_refinement
1d,boundary_singularity,p2,adaptive_g_effective_rho,production_4M,4000000,completed,24332819,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,43,53,43,43,53,53,53,53,0.87939075216402429,10,0.84624577076896368,10,1.6924915415379274,10,algorithm_data_ordered/1d/boundary_singularity/p2/production_4M/adaptive_g_effective_rho
1d,boundary_singularity,p2,uniform_standard,production_4M,4000000,completed,24332820,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,9,9,9,9,0,9,9,9,0.27583861912328234,9,0.27667979385995223,9,0.55335958771990446,9,algorithm_data_ordered/1d/boundary_singularity/p2/production_4M/uniform_standard
1d,boundary_singularity,p3,adaptive_force_effective_rho_no_inner_refinement,production_4M,4000000,completed,24332821,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,45,45,45,45,45,45,45,45,0.91734751987099539,10,1.0010256329995599,10,2.0020512659991199,10,algorithm_data_ordered/1d/boundary_singularity/p3/production_4M/adaptive_force_effective_rho_no_inner_refinement
1d,boundary_singularity,p3,adaptive_g_effective_rho,production_4M,4000000,completed,24332822,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,45,59,45,45,59,59,59,59,0.93184877198196803,10,0.95860414965979823,10,1.9172082993195965,10,algorithm_data_ordered/1d/boundary_singularity/p3/production_4M/adaptive_g_effective_rho
1d,boundary_singularity,p3,uniform_standard,production_4M,4000000,completed,24332823,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,9,9,9,9,0,9,9,9,0.26420576799044593,9,0.26434624546559948,9,0.52869249093119897,9,algorithm_data_ordered/1d/boundary_singularity/p3/production_4M/uniform_standard
1d,boundary_singularity,p4,adaptive_force_effective_rho_no_inner_refinement,production_2M,2000000,completed,24339267,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,43,43,43,43,43,43,43,43,0.9841885936875937,10,1.0053623477936213,10,2.0107246955872435,10,algorithm_data_ordered/1d/boundary_singularity/p4/production_2M/adaptive_force_effective_rho_no_inner_refinement
1d,boundary_singularity,p4,adaptive_g_effective_rho,production_2M,2000000,completed,24339268,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,42,56,42,42,56,56,56,56,0.98307394840084905,10,1.018008522684184,10,2.0360170453683679,10,algorithm_data_ordered/1d/boundary_singularity/p4/production_2M/adaptive_g_effective_rho
1d,boundary_singularity,p4,uniform_standard,production_2M,2000000,completed,24339269,1d/boundary_singularity.csv,outer_history.csv,inner_history.csv,8,8,8,8,0,8,8,8,0.26201556225070088,8,0.26202582461177276,8,0.52405164922354563,8,algorithm_data_ordered/1d/boundary_singularity/p4/production_2M/uniform_standard
1d,non_matching_initial,p1,adaptive_force_effective_rho_no_inner_refinement,production_4M,4000000,completed,24332824,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,44,44,44,44,44,44,44,44,0.4540798252100347,10,0.42068108767086865,10,0.8413621753417373,10,algorithm_data_ordered/1d/non_matching_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement
1d,non_matching_initial,p1,adaptive_g_effective_rho,production_4M,4000000,completed,24332825,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,44,48,44,44,48,48,48,48,0.45531431569524444,10,0.43927982167230201,10,0.87855964334460401,10,algorithm_data_ordered/1d/non_matching_initial/p1/production_4M/adaptive_g_effective_rho
1d,non_matching_initial,p1,uniform_standard,production_4M,4000000,completed,24332826,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,10,10,10,10,0,10,10,10,0.12681964702030316,10,0.13467809578058421,10,0.26935619156116841,10,algorithm_data_ordered/1d/non_matching_initial/p1/production_4M/uniform_standard
1d,non_matching_initial,p2,adaptive_force_effective_rho_no_inner_refinement,production_4M,4000000,completed,24332827,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,47,47,47,47,47,47,47,47,0.48126700562669456,10,0.46613152524959833,10,0.93226305049919667,10,algorithm_data_ordered/1d/non_matching_initial/p2/production_4M/adaptive_force_effective_rho_no_inner_refinement
1d,non_matching_initial,p2,adaptive_g_effective_rho,production_4M,4000000,completed,24332828,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,47,47,47,47,47,47,47,47,0.48126700562669456,10,0.46613152524959833,10,0.93226305049919667,10,algorithm_data_ordered/1d/non_matching_initial/p2/production_4M/adaptive_g_effective_rho
1d,non_matching_initial,p2,uniform_standard,production_4M,4000000,completed,24332829,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,9,9,9,9,0,9,9,9,0.11960024519597826,9,0.11976525286835191,9,0.23953050573670381,9,algorithm_data_ordered/1d/non_matching_initial/p2/production_4M/uniform_standard
1d,non_matching_initial,p3,adaptive_force_effective_rho_no_inner_refinement,production_4M,4000000,completed,24332830,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,46,46,46,46,46,46,46,46,0.489954644541511,10,0.42849121336898405,10,0.85698242673796809,10,algorithm_data_ordered/1d/non_matching_initial/p3/production_4M/adaptive_force_effective_rho_no_inner_refinement
1d,non_matching_initial,p3,adaptive_g_effective_rho,production_4M,4000000,completed,24332831,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,46,49,46,46,49,49,49,49,0.49075415294238167,10,0.50163890193055993,10,1.0032778038611199,10,algorithm_data_ordered/1d/non_matching_initial/p3/production_4M/adaptive_g_effective_rho
1d,non_matching_initial,p3,uniform_standard,production_4M,4000000,completed,24332832,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,9,9,9,9,0,9,9,9,0.12110985946653997,9,0.12113986000032625,9,0.24227972000065251,9,algorithm_data_ordered/1d/non_matching_initial/p3/production_4M/uniform_standard
1d,non_matching_initial,p4,adaptive_force_effective_rho_no_inner_refinement,production_2M,2000000,completed,24339270,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,42,42,42,42,42,42,42,42,0.5062151508733238,10,0.46921617900953461,10,0.93843235801906921,10,algorithm_data_ordered/1d/non_matching_initial/p4/production_2M/adaptive_force_effective_rho_no_inner_refinement
1d,non_matching_initial,p4,adaptive_g_effective_rho,production_2M,2000000,completed,24339271,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,42,43,42,42,43,43,43,43,0.48622542621804399,10,0.52039935058972564,10,1.0407987011794515,10,algorithm_data_ordered/1d/non_matching_initial/p4/production_2M/adaptive_g_effective_rho
1d,non_matching_initial,p4,uniform_standard,production_2M,2000000,completed,24339272,1d/non_matching_initial.csv,outer_history.csv,inner_history.csv,8,8,8,8,0,8,8,8,0.12312197429632069,8,0.12313159396839393,8,0.24626318793678786,8,algorithm_data_ordered/1d/non_matching_initial/p4/production_2M/uniform_standard
1d,smooth_initial,p1,adaptive_force_effective_rho_no_inner_refinement,production_4M,4000000,completed,24332787,1d/smooth_initial.csv,outer_history.csv,inner_history.csv,46,46,46,46,46,46,46,46,0.6405053735815055,10,0.52063800293066775,10,1.0412760058613355,10,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_force_effective_rho_no_inner_refinement
1d,smooth_initial,p1,adaptive_g_effective_rho,production_4M,4000000,completed,24339161,1d/smooth_initial.csv,outer_history.csv,inner_history.csv,42,73,42,42,73,73,73,73,0.57382966658974233,10,0.54198610609408648,10,1.0839722121881727,10,algorithm_data_ordered/1d/smooth_initial/p1/production_4M/adaptive_g_effective_rho
1d,smooth_initial,p1,adaptive_standard,production_2M,2000000,completed,24330389,1d/smooth_initial.csv,outer_history.csv,inner_history.csv,39,64,39,39,0,64,64,64,0.53140523752733204,10,0.55520573319515099,10,1.1104114663903017,10,algorithm_data_ordered/1d/smooth_initial/p1/production_2M/adaptive_standard
